model,country,mean_js_similarity,mean_total_variation,questions_used
checkpoints/llama3.1-8b-full-prism,Kenya,0.5683889066790949,0.5240787621973968,569
checkpoints/llama3.1-8b-full-prism,Bulgaria,0.5664794002423587,0.5280847047086267,302
checkpoints/llama3.1-8b-full-prism,Ukraine,0.5643740889720819,0.5286806766338259,475
checkpoints/llama3.1-8b-full-prism,Brazil,0.5597313928952858,0.5287763711684753,493
checkpoints/llama3.1-8b-full-prism,Lithuania,0.5565706402726669,0.5338320759078796,237
checkpoints/llama3.1-8b-full-prism,Canada,0.5522890024542029,0.5359754254286252,663
checkpoints/llama3.1-8b-full-prism,Honduras,0.5521394299142748,0.5186947163524737,2
checkpoints/llama3.1-8b-full-prism,Hungary,0.548734169277115,0.5436900640143284,302
checkpoints/llama3.1-8b-full-prism,Slovakia,0.5485601666899259,0.5412308841781975,386
checkpoints/llama3.1-8b-full-prism,Tunisia,0.5473827523622598,0.54335831007927,421
checkpoints/llama3.1-8b-full-prism,Nigeria,0.547337979835843,0.5455750711369391,469
checkpoints/llama3.1-8b-full-prism,Chile,0.544324772735628,0.5448217840600774,403
checkpoints/llama3.1-8b-full-prism,Peru,0.5403562080402284,0.5551228009975954,417
checkpoints/llama3.1-8b-full-prism,Ivory Coast,0.5335569527905448,0.5493039596057754,2
checkpoints/llama3.1-8b-full-prism,Philippines,0.5264875368002202,0.5666380411461609,495
checkpoints/llama3.1-8b-full-prism,Australia,0.5237944937234157,0.5668931971243497,538
checkpoints/llama3.1-8b-full-prism,Malaysia,0.5215858961345491,0.5678311054100036,376
checkpoints/llama3.1-8b-full-prism,Greece,0.5208435787746113,0.5684723621793598,467
checkpoints/llama3.1-8b-full-prism,China,0.5170928838679721,0.5722296383582604,289
checkpoints/llama3.1-8b-full-prism,Venezuela,0.5128214277410436,0.5753343625753837,345
checkpoints/llama3.1-8b-full-prism,Netherlands,0.5108126236889193,0.5865795655280137,468
checkpoints/llama3.1-8b-full-prism,Sweden,0.5083079755033463,0.5869490495210005,411
checkpoints/llama3.1-8b-full-prism,Belgium,0.5083040299062302,0.576049523434801,103
checkpoints/llama3.1-8b-full-prism,Bolivia,0.4984031060410398,0.5913873319353314,253
checkpoints/llama3.1-8b-full-prism,Thailand,0.49321932621252956,0.6022432047359882,252
checkpoints/llama3.1-8b-full-prism,Colombia,0.49218733453002234,0.5959161283933436,280
checkpoints/llama3.1-8b-full-prism,Morocco,0.4913231566324543,0.6013190054963019,273
checkpoints/llama3.1-8b-full-prism,Kazakhstan,0.48937067927003924,0.6054531578592653,196
checkpoints/llama3.1-8b-full-prism,North Macedonia,0.48752424888361207,0.6113189758945193,115
checkpoints/llama3.1-8b-full-prism,Colombia (Non-national sample),0.48558819125402286,0.6247250855415816,1
checkpoints/llama3.1-8b-full-prism,New Zealand,0.48490792155657936,0.6105406028555798,248
checkpoints/llama3.1-8b-full-prism,Jordan (Non-national sample),0.48489943935003355,0.6248019110115137,1
checkpoints/llama3.1-8b-full-prism,Romania,0.4842888200414972,0.6089949865130617,199
