model,top3_win_rate
checkpoints/llama3.1-8b-hard-panel-control-k50,0.38326666666666664
checkpoints/llama3.1-8b-hard-panel,0.2772
checkpoints/llama3.1-8b-hard-panel-control-k100,0.33953333333333335
