clause_id,entropy,entropy_normalized,variance
1,1.0835195974538059,0.9862620404213743,0.003474074074074076
2,1.0954242743632703,0.9970981443246876,0.0007055555555555556
3,1.0919498407703654,0.9939355785781155,0.0014388888888888878
4,1.096719839466558,0.998277418502349,0.0004222222222222219
5,1.087083326333897,0.9895058862410963,0.0025851851851851865
6,1.0852312621943725,0.9878200648110721,0.0029685185185185196
7,1.0691390748543,0.9731723246519103,0.0063722222222222236
8,1.0957067941029752,0.9973553048740634,0.0006351851851851851
9,1.0711730055530542,0.975023688158157,0.005896296296296295
10,1.0862819966003525,0.9887764844841616,0.0026962962962962956
11,1.0528296587085448,0.958326854312663,0.009607407407407407
12,1.0832496486981624,0.9860163224748085,0.0032666666666666664
13,1.0752609404316353,0.9787446868405375,0.004938888888888889
14,1.0915762111980347,0.9935954862851524,0.0015166666666666677
15,1.085115621384952,0.9877148040101387,0.0030574074074074067
16,1.0941941868618439,0.9959784704287059,0.0009796296296296296
17,1.0789247757170206,0.9820796534371947,0.004229629629629628
18,1.0917414739363764,0.9937459149122908,0.0014888888888888877
19,1.0647102805151707,0.969141062317772,0.007162962962962964
20,1.0731317608302047,0.9768066240467816,0.005905555555555554
21,1.0658508418386141,0.9701792459747436,0.007124074074074074
22,1.0800306644968791,0.9830862767849085,0.004090740740740741
23,1.0893030334325626,0.9915263507139237,0.0020388888888888887
24,1.0857367754969494,0.9882802028486593,0.0027722222222222224
25,1.0972433865138327,0.998753971561763,0.00030185185185185203
26,1.081269931198929,0.9842143059493667,0.003868518518518519
27,1.094862625488467,0.9965869094872508,0.0008166666666666666
28,1.044743099865409,0.9509661512452146,0.012638888888888887
29,1.0823462261930192,0.9851939918724097,0.0035851851851851856
30,1.0863429651690826,0.988831980467011,0.002762962962962962
31,1.091394106477024,0.9934297274247346,0.0015722222222222212
32,1.0717438759044493,0.975543316745315,0.006024074074074073
33,1.0860741926042263,0.9885873331354378,0.002868518518518518
34,1.0717281696037912,0.9755290202543508,0.0056166666666666665
35,1.090047392872345,0.9922038958747237,0.001872222222222222
36,1.0923332726463424,0.994284593312369,0.001368518518518518
37,1.0899578218645396,0.9921223648298506,0.0018666666666666682
38,1.097958117761988,0.9994045479803298,0.0001462962962962962
39,1.0483041810540454,0.9542075870323143,0.010201851851851849
40,1.0922998062633091,0.9942541308977587,0.001401851851851852
41,1.0906832417411647,0.9927826704573296,0.0017055555555555546
42,1.0741809696550553,0.9777616550760837,0.005172222222222224
43,1.07931898280241,0.9824384761897303,0.004288888888888891
44,1.0822386109477398,0.9850960362547733,0.003746296296296296
45,1.0946673608655295,0.9964091719678806,0.0008685185185185181
46,1.0760474168150416,0.9794605684955295,0.004738888888888889
47,1.0828371401013897,0.9856408409687052,0.0035629629629629627
48,1.0814998295097245,0.984423568409988,0.003938888888888889
49,1.0957427004347964,0.9973879882257713,0.0006351851851851848
50,1.0451917731689353,0.9513745512860244,0.01193888888888889
51,1.0932881965739336,0.995153802529707,0.0012055555555555548
52,1.0933600856995296,0.9952192388317924,0.00119074074074074
53,1.079086201893246,0.9822265898749996,0.004512962962962964
54,1.0867635121555639,0.9892147788307459,0.0025407407407407423
55,1.0649673708617922,0.969375076036054,0.007350000000000002
56,1.0911232256390675,0.9931831610602849,0.0016129629629629627
57,1.0924711150689435,0.9944100628925137,0.001390740740740741
58,1.0797474222184156,0.9828284585524117,0.00435740740740741
59,1.088769111147522,0.9910403537061094,0.0021240740740740747
60,1.0862902175785778,0.9887839675410235,0.0028074074074074078
61,1.0872599837952517,0.9896666867920976,0.002438888888888888
62,1.0952348901140057,0.9969257593521017,0.0007351851851851858
63,1.088133804089703,0.9904620723011298,0.002390740740740741
64,1.0957815752727504,0.9974233736282059,0.0006222222222222224
65,1.0748374188389813,0.9783591808735804,0.005512962962962963
66,1.082869254547214,0.985670072797036,0.0036240740740740743
67,1.0812461367431156,0.9841926473023092,0.003835185185185183
68,1.0941377836286947,0.995927129993385,0.0010018518518518516
69,1.0966069488474068,0.9981746610324793,0.0004462962962962958
70,1.0683590427320475,0.9724623088162072,0.006990740740740739
71,1.0965467900856143,0.9981199021676704,0.0004518518518518515
72,1.0935538613762126,0.9953956210538754,0.0010962962962962955
73,1.0701145406135681,0.9740602318502276,0.006429629629629629
74,1.0649124374820158,0.9693250735189303,0.006990740740740739
75,1.0865525279072987,0.9890227326917747,0.0027555555555555562
