model,rank_1,rank_2,rank_3
checkpoints/llama3.1-8b-hard-panel,0.4129333333333333,0.3098666666666667,0.2772
checkpoints/llama3.1-8b-hard-panel-control-k100,0.30173333333333335,0.35873333333333335,0.33953333333333335
checkpoints/llama3.1-8b-hard-panel-control-k50,0.2853333333333333,0.3314,0.38326666666666664
