model,rank_1,rank_2,rank_3,rank_4,rank_5
checkpoints/community-alignment/llama3.1-8b-full-us,0.2152,0.2138,0.21673333333333333,0.1836,0.17066666666666666
checkpoints/community-alignment/llama3.1-8b-soft-us,0.19306666666666666,0.225,0.22806666666666667,0.207,0.14686666666666667
checkpoints/community-alignment/llama3.1-8b-full-global,0.21973333333333334,0.20866666666666667,0.20266666666666666,0.18686666666666665,0.18206666666666665
checkpoints/community-alignment/llama3.1-8b-hard-us,0.19933333333333333,0.1918,0.18586666666666668,0.21406666666666666,0.20893333333333333
meta-llama/Llama-3.1-8B,0.17266666666666666,0.16073333333333334,0.16666666666666666,0.20846666666666666,0.29146666666666665
