clause_id,entropy,entropy_normalized,variance
1,1.7788023293313207,0.9927684825339215,0.0007612222222222225
2,1.7706294971426768,0.9882071380404193,0.0011761851851851848
3,1.7786657493902553,0.9926922558174391,0.0006766666666666667
4,1.7878188904106078,0.99780072108722,0.00021522222222222233
5,1.7793681193051198,0.9930842559306949,0.0007144074074074071
6,1.7906882969127897,0.9994021673479829,5.948148148148148e-05
7,1.770888971908889,0.9883519536647641,0.0012190370370370371
8,1.7702278996368226,0.9879830022048055,0.0011399259259259264
9,1.774780590468902,0.9905239073375914,0.0010067037037037039
10,1.7884164326984298,0.9981342157878672,0.00018533333333333328
11,1.7707162190720893,0.9882555384707794,0.0011611481481481481
12,1.7834778175464767,0.9953779221911152,0.0004792222222222223
13,1.7757338258510997,0.9910559181340006,0.0009007037037037036
14,1.7895738710818117,0.998780194449211,0.00012125925925925917
15,1.7791575231609746,0.9929667199847367,0.0007078888888888889
16,1.7811165532875428,0.9940600755161085,0.0005760370370370368
17,1.7869236141788072,0.9973010579085533,0.0002828148148148148
18,1.7846236517736231,0.9960174244495518,0.00038344444444444456
19,1.7791580287197093,0.9929670021424389,0.000690962962962963
20,1.7883491627647423,0.9980966717230288,0.00018925925925925932
21,1.7875219494945402,0.9976349952065048,0.00023759259259259255
22,1.7609154972262713,0.9827856514607554,0.0018941851851851856
23,1.7807525212586268,0.9938569053723655,0.0006336666666666666
24,1.7736784355734334,0.989908782978325,0.0010413703703703707
25,1.782936045640376,0.9950755535331535,0.00048500000000000024
26,1.787100509558766,0.9973997850998961,0.00026800000000000006
27,1.7798562853839317,0.9933567066068016,0.000619925925925926
28,1.7865792738921171,0.9971088779354019,0.0002908518518518516
29,1.7873024097375108,0.9975124677351562,0.00024659259259259247
30,1.7793125822946991,0.9930532601350123,0.0006892962962962965
31,1.7824919843510927,0.9948277182087644,0.0005173333333333331
32,1.7798437486541825,0.9933497097247065,0.0006407777777777778
33,1.758582574746184,0.9814836226336984,0.0017051851851851852
34,1.7774732220845224,0.9920266936556571,0.0007583703703703703
35,1.7824457484530407,0.9948019134627334,0.0005082592592592594
36,1.7616763346174789,0.9832102828938658,0.0015618148148148151
37,1.7802981111369574,0.9936032942546493,0.000616185185185185
38,1.788996821049066,0.9984581366938838,0.00015511111111111107
39,1.7824164985560749,0.9947855887844113,0.0005087777777777777
40,1.755025389472001,0.9794983197315652,0.002091222222222223
41,1.7831934520511084,0.9952192147863256,0.0004998148148148148
42,1.7795490000829655,0.9931852074149494,0.000721851851851852
43,1.773375443798392,0.9897396800489168,0.001126148148148148
44,1.7821175344194684,0.9946187337228135,0.0005619259259259258
45,1.7853367395925548,0.9964154063389618,0.00033925925925925904
46,1.7770246162947858,0.9917763219972727,0.0007797037037037035
47,1.777089179141342,0.991812355208016,0.0008303703703703705
48,1.7868676883051053,0.9972698450841412,0.00027100000000000003
49,1.7852624928560121,0.9963739684463105,0.00036166666666666677
50,1.7763892542587234,0.991421719693239,0.0009278148148148149
51,1.7838201542080094,0.9955689839197747,0.0004397037037037035
52,1.7852555014554778,0.9963700664713778,0.000342
53,1.7741512070734191,0.9901726417763975,0.00100562962962963
54,1.7795552173841034,0.993188677356783,0.0007049629629629627
55,1.7550776455788097,0.9795274844200774,0.0019246296296296294
56,1.756196195390682,0.9801517589564102,0.0018342222222222221
57,1.777549049354689,0.9920690136609195,0.0007580370370370368
58,1.7897804095963417,0.9988954657889622,0.00011203703703703694
59,1.7844518705747758,0.9959215515370333,0.0004205185185185186
60,1.772211271884251,0.9890899433325022,0.0011505555555555555
61,1.7540802915553801,0.9789708505411677,0.0019397777777777781
62,1.7845404580457216,0.9959709931459475,0.00039918518518518536
63,1.764733039576294,0.9849162624136124,0.001495925925925926
64,1.7767418808096394,0.9916185243185093,0.0009094074074074078
65,1.7826506205816843,0.9949162547748136,0.0005257037037037037
66,1.7558937489995872,0.9799829604115781,0.0020218888888888886
67,1.7740752838888472,0.9901302682402864,0.0010257407407407407
68,1.7789610388058033,0.9928570599781645,0.0007097037037037037
69,1.7845284277753448,0.9959642789242099,0.0004248148148148147
70,1.7705172405574279,0.9881444864472915,0.0011259629629629632
71,1.7857872863532789,0.99666686127388,0.00033937037037037036
72,1.7881245970184811,0.9979713391936811,0.0002057777777777776
73,1.7839404040050222,0.9956360966093281,0.0004434074074074077
74,1.7444130166012435,0.9735754416594713,0.0024164074074074075
75,1.7816645545241758,0.9943659208296366,0.0005462962962962965
