,checkpoints/llama3.1-8b-full-prism,checkpoints/llama3.1-8b-hard-panel,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-soft-panel-clipped,checkpoints/llama3.1-8b-soft-panel-sqrt,checkpoints/llama3.1-8b-soft-panel-square
checkpoints/llama3.1-8b-full-prism,0.5,0.3811333333333333,0.48433333333333334,0.45093333333333335,0.46153333333333335,0.4461333333333333
checkpoints/llama3.1-8b-hard-panel,0.6188666666666667,0.5,0.6066666666666667,0.5859333333333333,0.5944,0.5798
checkpoints/llama3.1-8b-soft-panel,0.5156666666666667,0.3933333333333333,0.5,0.4644666666666667,0.4694,0.46086666666666665
checkpoints/llama3.1-8b-soft-panel-clipped,0.5490666666666667,0.4140666666666667,0.5355333333333333,0.5,0.5098666666666667,0.4978
checkpoints/llama3.1-8b-soft-panel-sqrt,0.5384666666666666,0.4056,0.5306,0.4901333333333333,0.5,0.49133333333333334
checkpoints/llama3.1-8b-soft-panel-square,0.5538666666666666,0.4202,0.5391333333333334,0.5022,0.5086666666666667,0.5
