clause_id,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-soft-panel-clipped,checkpoints/llama3.1-8b-soft-panel-sqrt,checkpoints/llama3.1-8b-soft-panel-square
1,-0.016500000000000015,-0.04250000000000001,-0.05150000000000002,-0.04450000000000001
2,-0.012666666666666632,-0.05699999999999997,-0.08299999999999998,-0.04333333333333331
3,0.020333333333333314,0.04833333333333331,0.03466666666666665,0.050666666666666665
4,0.005166666666666653,0.005166666666666653,-0.0038333333333333552,0.02049999999999999
5,-0.011333333333333334,-0.008666666666666656,-0.009000000000000008,-0.031
6,0.003999999999999976,-0.013000000000000012,-2.7755575615628914e-17,-0.0030000000000000304
7,-0.024499999999999966,-0.008833333333333304,-0.05016666666666664,-0.015499999999999986
8,0.007500000000000007,0.05550000000000002,0.07516666666666669,0.044833333333333336
9,-0.030166666666666675,-0.013500000000000012,-0.02616666666666667,-0.02316666666666667
10,-0.03633333333333333,-0.022333333333333344,-0.021666666666666667,-0.009666666666666685
11,-0.03283333333333335,-0.012500000000000011,0.01683333333333331,0.013499999999999984
12,-0.03633333333333333,-0.04533333333333334,-0.042666666666666686,-0.04566666666666666
13,0.028499999999999998,-0.036500000000000005,-0.05316666666666667,-0.021833333333333316
14,-0.014000000000000012,0.012333333333333307,-0.01100000000000001,0.01266666666666666
15,-0.029333333333333322,0.004333333333333356,0.006666666666666682,-0.01366666666666666
16,-0.01683333333333331,0.03816666666666668,0.038500000000000006,0.03516666666666668
17,-0.01683333333333334,-0.026833333333333348,-0.023833333333333345,-0.02350000000000002
18,-0.007666666666666655,0.015333333333333365,0.010666666666666685,0.01566666666666669
19,-0.010166666666666657,0.04150000000000001,0.055499999999999994,0.02416666666666667
20,-0.009333333333333332,0.008000000000000007,-0.01633333333333334,0.01366666666666666
21,-0.01416666666666666,0.0008333333333333526,0.023499999999999993,0.03083333333333335
22,-0.04450000000000001,-0.0685,-0.08283333333333334,-0.05916666666666667
23,-0.028999999999999998,-0.006666666666666682,-0.048666666666666664,-0.041666666666666685
24,-0.03216666666666665,-0.049166666666666664,-0.0625,-0.07516666666666666
25,-0.031666666666666676,-0.015333333333333365,-0.0586666666666667,-0.04233333333333336
26,-0.004333333333333328,-0.008666666666666656,-0.01733333333333331,0.034333333333333355
27,0.00683333333333333,0.010499999999999982,0.02483333333333332,0.020833333333333315
28,-0.02683333333333332,0.009500000000000008,-0.009166666666666656,-0.00849999999999998
29,-0.00849999999999998,0.020166666666666666,0.03216666666666668,0.027166666666666672
30,-0.002333333333333354,-0.0606666666666667,-0.04866666666666669,-0.04233333333333336
31,-0.029333333333333322,0.010666666666666658,0.010666666666666658,-0.021999999999999992
32,-0.036000000000000004,0.03366666666666665,0.015666666666666662,0.010666666666666658
33,-0.05333333333333333,0.042333333333333334,0.03933333333333333,0.04766666666666666
34,-0.007333333333333331,0.011999999999999983,0.02466666666666667,0.04266666666666666
35,0.013833333333333336,0.023499999999999993,0.03483333333333333,0.05683333333333335
36,-0.04666666666666666,0.054333333333333345,0.047000000000000014,0.04533333333333334
37,-0.006666666666666654,0.009000000000000008,0.008000000000000007,0.013666666666666688
38,-0.001166666666666677,-0.012166666666666687,-0.024500000000000022,-0.02316666666666667
39,-0.009833333333333333,0.026833333333333348,-0.004833333333333328,0.01683333333333334
40,-0.09566666666666668,-0.035333333333333355,-0.028666666666666674,-0.022333333333333344
41,-0.015999999999999986,-0.04266666666666666,-0.03666666666666665,-0.030666666666666648
42,-0.04616666666666666,-0.04416666666666666,-0.050833333333333314,-0.053833333333333316
43,-0.05616666666666667,-0.047500000000000014,-0.04516666666666666,-0.050166666666666665
44,-0.008333333333333331,-0.03733333333333333,-0.017000000000000015,-0.02733333333333335
45,0.015333333333333338,0.005333333333333329,0.013333333333333336,0.017999999999999988
46,0.004666666666666652,0.03566666666666665,0.057666666666666644,0.023999999999999994
47,-0.005333333333333329,-0.058666666666666645,-0.05399999999999999,-0.04999999999999999
48,-0.0036666666666666514,-0.0003333333333333244,-0.0006666666666666488,0.0026666666666666783
49,0.012999999999999984,-0.028666666666666674,-0.03666666666666668,-0.031666666666666676
50,-0.04683333333333334,-0.0295,-0.046500000000000014,-0.050166666666666665
51,0.014666666666666689,-0.020999999999999963,-0.0353333333333333,-0.042333333333333306
52,0.022833333333333344,0.009166666666666684,0.011166666666666686,0.021833333333333343
53,-0.0315,-0.049166666666666664,-0.011499999999999982,0.009166666666666684
54,-0.04300000000000001,-0.061,-0.05566666666666667,-0.04033333333333333
55,-0.072,0.0006666666666666765,0.023999999999999994,0.023333333333333345
56,-0.07283333333333335,0.01483333333333331,0.03483333333333333,0.014166666666666633
57,-0.057999999999999996,0.004333333333333328,-0.010000000000000009,0.009666666666666657
58,-0.013999999999999985,-0.0036666666666666514,-0.01266666666666666,-0.0016666666666666496
59,-0.01633333333333334,-0.029000000000000026,-0.03400000000000003,-0.04466666666666669
60,-0.01833333333333334,-0.006666666666666682,-0.03266666666666668,-0.032333333333333325
61,-0.061666666666666675,0.05633333333333332,0.069,0.032333333333333325
62,-0.0050000000000000044,-0.04100000000000001,-0.04633333333333334,-0.03566666666666668
63,-0.02083333333333333,0.04716666666666666,0.06616666666666668,0.08450000000000002
