model,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
checkpoints/llama3.1-8b-hard-panel,0.3399333333333333,0.15133333333333332,0.11726666666666667,0.11426666666666667,0.10033333333333333,0.17686666666666667
checkpoints/llama3.1-8b-soft-panel-square,0.11813333333333334,0.173,0.21553333333333333,0.21253333333333332,0.16973333333333335,0.11106666666666666
checkpoints/llama3.1-8b-soft-panel-clipped,0.117,0.17413333333333333,0.20886666666666667,0.21693333333333334,0.16433333333333333,0.11873333333333333
checkpoints/llama3.1-8b-soft-panel-sqrt,0.1116,0.17413333333333333,0.20226666666666668,0.20666666666666667,0.18146666666666667,0.12386666666666667
checkpoints/llama3.1-8b-soft-panel,0.16593333333333332,0.15946666666666667,0.132,0.12786666666666666,0.18446666666666667,0.23026666666666668
checkpoints/llama3.1-8b-full-prism,0.1474,0.16793333333333332,0.12406666666666667,0.12173333333333333,0.19966666666666666,0.2392
