clause_id,checkpoints/llama3.1-8b-full-prism,checkpoints/llama3.1-8b-hard-panel,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-soft-panel-clipped,checkpoints/llama3.1-8b-soft-panel-sqrt,checkpoints/llama3.1-8b-soft-panel-square
1,0.162,0.223,0.176,0.15,0.141,0.148
2,0.174,0.22466666666666665,0.18666666666666668,0.14233333333333334,0.11633333333333333,0.156
3,0.11366666666666667,0.16833333333333333,0.16133333333333333,0.18933333333333333,0.17566666666666667,0.19166666666666668
4,0.14066666666666666,0.18366666666666667,0.16733333333333333,0.16733333333333333,0.15833333333333333,0.18266666666666667
5,0.134,0.21933333333333332,0.16533333333333333,0.168,0.16766666666666666,0.14566666666666667
6,0.17833333333333334,0.159,0.17266666666666666,0.15566666666666668,0.16866666666666666,0.16566666666666666
7,0.13066666666666665,0.23566666666666666,0.15866666666666668,0.17433333333333334,0.133,0.16766666666666666
8,0.10766666666666666,0.16466666666666666,0.14366666666666666,0.19166666666666668,0.21133333333333335,0.181
9,0.13133333333333333,0.233,0.152,0.16866666666666666,0.156,0.159
10,0.17533333333333334,0.188,0.14533333333333334,0.15933333333333333,0.16,0.172
11,0.11766666666666667,0.22066666666666668,0.13633333333333333,0.15666666666666668,0.186,0.18266666666666667
12,0.18066666666666667,0.20933333333333334,0.15866666666666668,0.14966666666666667,0.15233333333333332,0.14933333333333335
13,0.204,0.157,0.209,0.144,0.12733333333333333,0.15866666666666668
14,0.15966666666666668,0.17366666666666666,0.15266666666666667,0.179,0.15566666666666668,0.17933333333333334
15,0.13133333333333333,0.21266666666666667,0.14266666666666666,0.17633333333333334,0.17866666666666667,0.15833333333333333
16,0.135,0.16666666666666666,0.134,0.189,0.18933333333333333,0.186
17,0.16,0.20366666666666666,0.165,0.155,0.158,0.15833333333333333
18,0.13066666666666665,0.19133333333333333,0.15333333333333332,0.17633333333333334,0.17166666666666666,0.17666666666666667
19,0.12933333333333333,0.167,0.138,0.18966666666666668,0.20366666666666666,0.17233333333333334
20,0.151,0.18366666666666667,0.158,0.17533333333333334,0.151,0.181
21,0.16066666666666668,0.159,0.14566666666666667,0.16066666666666668,0.18333333333333332,0.19066666666666668
22,0.15833333333333333,0.26,0.16466666666666666,0.14066666666666666,0.12633333333333333,0.15
23,0.16066666666666668,0.21466666666666667,0.15866666666666668,0.181,0.139,0.146
24,0.17833333333333334,0.228,0.171,0.154,0.14066666666666666,0.128
25,0.18466666666666667,0.198,0.15966666666666668,0.176,0.13266666666666665,0.149
26,0.16166666666666665,0.17033333333333334,0.16166666666666665,0.15733333333333333,0.14866666666666667,0.20033333333333334
27,0.11633333333333333,0.196,0.163,0.16666666666666666,0.181,0.177
28,0.15033333333333335,0.19466666666666665,0.14566666666666667,0.182,0.16333333333333333,0.164
29,0.149,0.16066666666666668,0.14633333333333334,0.175,0.187,0.182
30,0.18133333333333335,0.20333333333333334,0.19,0.13166666666666665,0.14366666666666666,0.15
31,0.14266666666666666,0.20066666666666666,0.14233333333333334,0.18233333333333332,0.18233333333333332,0.14966666666666667
32,0.13866666666666666,0.18666666666666668,0.12666666666666668,0.19633333333333333,0.17833333333333334,0.17333333333333334
33,0.117,0.191,0.10066666666666667,0.19633333333333333,0.19333333333333333,0.20166666666666666
34,0.11733333333333333,0.192,0.14733333333333334,0.16666666666666666,0.17933333333333334,0.19733333333333333
35,0.12733333333333333,0.163,0.159,0.16866666666666666,0.18,0.202
36,0.12133333333333333,0.17866666666666667,0.10333333333333333,0.20433333333333334,0.197,0.19533333333333333
37,0.12133333333333333,0.204,0.156,0.17166666666666666,0.17066666666666666,0.17633333333333334
38,0.16533333333333333,0.18833333333333332,0.17566666666666667,0.16466666666666666,0.15233333333333332,0.15366666666666667
39,0.12966666666666668,0.194,0.152,0.18866666666666668,0.157,0.17866666666666667
40,0.14066666666666666,0.25333333333333335,0.10133333333333333,0.16166666666666665,0.16833333333333333,0.17466666666666666
41,0.16233333333333333,0.213,0.17166666666666666,0.145,0.151,0.157
42,0.17566666666666667,0.22266666666666668,0.153,0.155,0.14833333333333334,0.14533333333333334
43,0.15866666666666668,0.241,0.14366666666666666,0.15233333333333332,0.15466666666666667,0.14966666666666667
44,0.14833333333333334,0.215,0.17333333333333334,0.14433333333333334,0.16466666666666666,0.15433333333333332
45,0.12866666666666668,0.18733333333333332,0.17333333333333334,0.16333333333333333,0.17133333333333334,0.176
46,0.115,0.17766666666666667,0.151,0.182,0.204,0.17033333333333334
47,0.17466666666666666,0.21466666666666667,0.18933333333333333,0.136,0.14066666666666666,0.14466666666666667
48,0.13866666666666666,0.19533333333333333,0.16333333333333333,0.16666666666666666,0.16633333333333333,0.16966666666666666
49,0.17866666666666667,0.18266666666666667,0.19366666666666665,0.152,0.144,0.149
50,0.158,0.233,0.14866666666666667,0.166,0.149,0.14533333333333334
51,0.18833333333333332,0.173,0.19533333333333333,0.15966666666666668,0.14533333333333334,0.13833333333333334
52,0.128,0.18366666666666667,0.17866666666666667,0.165,0.167,0.17766666666666667
53,0.13833333333333334,0.22266666666666668,0.149,0.13133333333333333,0.169,0.18966666666666668
54,0.18266666666666667,0.21733333333333332,0.157,0.139,0.14433333333333334,0.15966666666666668
55,0.119,0.22233333333333333,0.09866666666666667,0.17133333333333334,0.19466666666666665,0.194
56,0.123,0.21333333333333335,0.09533333333333334,0.183,0.203,0.18233333333333332
57,0.14866666666666667,0.20266666666666666,0.11766666666666667,0.18,0.16566666666666666,0.18533333333333332
58,0.15666666666666668,0.18733333333333332,0.158,0.16833333333333333,0.15933333333333333,0.17033333333333334
59,0.167,0.20766666666666667,0.171,0.15833333333333333,0.15333333333333332,0.14266666666666666
60,0.128,0.23533333333333334,0.16333333333333333,0.175,0.149,0.14933333333333335
61,0.13666666666666666,0.16466666666666666,0.089,0.207,0.21966666666666668,0.183
62,0.18733333333333332,0.18866666666666668,0.183,0.147,0.14166666666666666,0.15233333333333332
63,0.134,0.14033333333333334,0.11633333333333333,0.18433333333333332,0.20333333333333334,0.22166666666666668
64,0.14866666666666667,0.233,0.16233333333333333,0.15233333333333332,0.146,0.15766666666666668
65,0.14533333333333334,0.211,0.151,0.164,0.17966666666666667,0.149
66,0.21133333333333335,0.238,0.16133333333333333,0.123,0.11233333333333333,0.154
67,0.13533333333333333,0.22866666666666666,0.13366666666666666,0.162,0.16033333333333333,0.18
68,0.14166666666666666,0.201,0.19433333333333333,0.182,0.134,0.147
69,0.169,0.211,0.15133333333333332,0.158,0.153,0.15766666666666668
70,0.115,0.20366666666666666,0.12733333333333333,0.18866666666666668,0.192,0.17333333333333334
71,0.15033333333333335,0.20033333333333334,0.17833333333333334,0.155,0.14766666666666667,0.16833333333333333
72,0.19366666666666665,0.15033333333333335,0.15366666666666667,0.17333333333333334,0.16166666666666665,0.16733333333333333
73,0.13966666666666666,0.20533333333333334,0.17833333333333334,0.163,0.16366666666666665,0.15
74,0.096,0.191,0.10033333333333333,0.21466666666666667,0.19133333333333333,0.20666666666666667
75,0.12833333333333333,0.19233333333333333,0.146,0.17966666666666667,0.16366666666666665,0.19
