step,layer,numel,l1,l2,l1_over_l2,l1_over_sqrt_d_l2
1,model.embed_tokens,262668288,306.0,0.21993466165613057,1391.3223031594412,0.08584676325349111
1,model.layers.0,60821504,834.7685546875,0.27051954708475107,3085.797546548366,0.3956752193566289
1,model.layers.1,60821504,795.125,0.6145035793178872,1293.9306242652103,0.16591376325419355
1,model.layers.2,60821504,788.76953125,0.190671376896847,4136.800940377766,0.5304397306782375
1,model.layers.3,60821504,831.3515625,0.19535250966421147,4255.6482326692285,0.5456788796301725
1,model.layers.4,60821504,867.9189453125,0.1907154075427211,4550.85908629633,0.583532179305006
1,model.layers.5,60821504,919.94677734375,0.20655349666726844,4453.794257599367,0.5710860784811057
1,model.layers.6,60821504,970.70166015625,0.21746761060854664,4463.660852482373,0.5723512188656406
1,model.layers.7,60821504,969.02294921875,0.22739131800514806,4261.47734099862,0.5464263148335822
1,model.layers.8,60821504,1019.4404296875,0.22563690780782805,4518.057083798293,0.579326154982942
1,model.layers.9,60821504,990.38720703125,0.21818324663775848,4539.244980049055,0.5820429649389622
1,model.layers.10,60821504,915.35107421875,0.19270354950854532,4750.0478146520045,0.6090730784069762
1,model.layers.11,60821504,775.94921875,0.16180153239199502,4795.685227937862,0.6149249184063142
1,model.layers.12,60821504,662.17431640625,0.13866295045525914,4775.423530454204,0.6123268699357166
1,model.layers.13,60821504,619.659912109375,0.13261096278476797,4672.765351346583,0.5991635638780671
1,model.layers.14,60821504,596.41845703125,0.13021184968593044,4580.370054413671,0.5873162119925412
1,model.layers.15,60821504,770.7021484375,0.19408814122140394,3970.8873689419793,0.5091655259445124
1,model.norm,2048,0.055908203125,0.0015635729634047963,35.75669599917853,0.7901188191826573
1,__whole_model__,1235814400,13633.74365234375,1.002492787571158,13599.84213490016,0.38686304111451725
2,model.embed_tokens,262668288,334.0,0.23223006724671813,1438.2289251338107,0.08874097522904172
2,model.layers.0,60821504,808.1943359375,0.25308086059391743,3193.4233748094193,0.40947550034177155
2,model.layers.1,60821504,755.34130859375,0.6299532403608701,1199.0434530681216,0.15374689173680134
2,model.layers.2,60821504,730.99658203125,0.16883860483890342,4329.558294613527,0.5551559692743664
2,model.layers.3,60821504,803.26318359375,0.17637542850316165,4554.280550362212,0.5839708952364199
2,model.layers.4,60821504,850.3876953125,0.18359423770895839,4631.886631761133,0.593921905572556
2,model.layers.5,60821504,892.37744140625,0.20032063207696732,4454.745535464266,0.5712080557243258
2,model.layers.6,60821504,930.9384765625,0.20909110347144078,4452.310314052432,0.5708958003829515
2,model.layers.7,60821504,936.15283203125,0.22227208758548642,4211.742653792295,0.5400491034406936
2,model.layers.8,60821504,981.93896484375,0.2197676847558095,4468.077123963025,0.5729174936002873
2,model.layers.9,60821504,959.3291015625,0.21565052933755702,4448.535807027237,0.5704118156520582
2,model.layers.10,60821504,883.216796875,0.18824194665411342,4691.923413318039,0.6016200991039384
2,model.layers.11,60821504,763.124755859375,0.1599460503793731,4771.138481064918,0.6117774211039368
2,model.layers.12,60821504,658.4267578125,0.14000031458603704,4703.037702160766,0.6030452245729628
2,model.layers.13,60821504,628.6005859375,0.13572943993793501,4631.276650260548,0.5938436909261294
2,model.layers.14,60821504,613.043701171875,0.13490152121103435,4544.379453014876,0.5827013307864899
2,model.layers.15,60821504,805.392333984375,0.20247779590945822,3977.682245931408,0.5100367964678495
2,model.norm,2048,0.058349609375,0.0016659487935849534,35.024851663920316,0.7739471913003434
2,__whole_model__,1235814400,13334.783203125,0.9972148844851586,13372.025839756165,0.3803825464234298
3,model.embed_tokens,262668288,330.0,0.23482140308485663,1405.3233464444847,0.08671064953308545
3,model.layers.0,60821504,932.6748046875,0.30994881172199956,3009.125279447879,0.3858439470045302
3,model.layers.1,60821504,857.27734375,0.5942491677043253,1442.6227083527813,0.18497974930818883
3,model.layers.2,60821504,802.4462890625,0.19475834431265274,4120.215192291343,0.5283130294240902
3,model.layers.3,60821504,857.5888671875,0.18850841309650596,4549.340016715655,0.5833373971845055
3,model.layers.4,60821504,878.283203125,0.19180244310442002,4579.103315419449,0.5871537848657302
3,model.layers.5,60821504,906.82470703125,0.19976575772591207,4539.440179109453,0.5820679942644046
3,model.layers.6,60821504,939.14208984375,0.2068121114490446,4541.040093172399,0.5822731426379639
3,model.layers.7,60821504,947.2138671875,0.2139096067162636,4428.1034485931905,0.5677918842458624
3,model.layers.8,60821504,1011.126953125,0.22347003722874909,4524.664539658116,0.5801733935030611
3,model.layers.9,60821504,993.212890625,0.21725688694593565,4571.606012527285,0.586192446047583
3,model.layers.10,60821504,912.42431640625,0.19176360968535738,4758.068112627526,0.6101014780712121
3,model.layers.11,60821504,794.1337890625,0.16367593780329726,4851.866436329055,0.6221287325317001
3,model.layers.12,60821504,692.928466796875,0.1428122093417313,4852.025397483951,0.6221491152654613
3,model.layers.13,60821504,669.04541015625,0.14011619181867213,4774.932871584738,0.6122639553883826
3,model.layers.14,60821504,643.587890625,0.1380190882046423,4663.035374286387,0.5979159412620162
3,model.layers.15,60821504,837.82958984375,0.20556999950442667,4075.641347781919,0.5225975651274897
3,model.norm,2048,0.0615234375,0.0017699402707128207,34.760177231982084,0.7680986573743991
3,__whole_model__,1235814400,14005.802001953125,1.00253308024619,13970.413822667824,0.39740437598140105
4,model.embed_tokens,262668288,342.0,0.23521607008819195,1453.9822890152466,0.08971298243147405
4,model.layers.0,60821504,932.1015625,0.2879437735434001,3237.0957393163067,0.4150753727071554
4,model.layers.1,60821504,847.63623046875,0.6044043272372606,1402.432431851217,0.17982636635584714
4,model.layers.2,60821504,803.02001953125,0.18660087431664427,4303.409737344531,0.5518030804418368
4,model.layers.3,60821504,861.73291015625,0.192673129867693,4472.512128432204,0.5734861703652788
4,model.layers.4,60821504,881.42138671875,0.19080650782649955,4619.4513843323775,0.5923274006901375
4,model.layers.5,60821504,907.96142578125,0.20217056198062966,4491.066438585868,0.5758652897434358
4,model.layers.6,60821504,947.94970703125,0.20852053740271295,4546.0735850708425,0.582918560226449
4,model.layers.7,60821504,958.3857421875,0.21791052975425365,4398.069901754218,0.5639408441000626
4,model.layers.8,60821504,1007.06884765625,0.22179103022189475,4540.620270570502,0.5822193110441568
4,model.layers.9,60821504,975.32568359375,0.21297311768477467,4579.571798527864,0.587213855934519
4,model.layers.10,60821504,896.9716796875,0.18764313651175737,4780.199779016683,0.6129393025950706
4,model.layers.11,60821504,772.133056640625,0.16164940936485298,4776.590645610537,0.6124765228337211
4,model.layers.12,60821504,666.863525390625,0.14183510897676385,4701.6816231295315,0.6028713418538102
4,model.layers.13,60821504,637.732421875,0.1357081473281033,4699.293553342426,0.6025651325116228
4,model.layers.14,60821504,614.2265625,0.1335306849192378,4599.890750740155,0.5898192458709678
4,model.layers.15,60821504,809.65283203125,0.2061519258103872,3927.4570385335433,0.5035966883095515
4,model.norm,2048,0.058837890625,0.0017024535697140642,34.5606433395315,0.7636895396110127
4,__whole_model__,1235814400,13862.242431640625,0.9992430373529895,13872.7435803425,0.39462603439496435
5,model.embed_tokens,262668288,330.0,0.2294078590805353,1438.4860279967615,0.08875683887800172
5,model.layers.0,60821504,813.791015625,0.2725712803597092,2985.6080748898025,0.38282846237476886
5,model.layers.1,60821504,746.48828125,0.6179083900289808,1208.0889227203868,0.1549067436502385
5,model.layers.2,60821504,737.50244140625,0.16958676209040663,4348.82081782473,0.5576258990030616
5,model.layers.3,60821504,799.69873046875,0.1776805997909616,4500.765595172365,0.5771089604159427
5,model.layers.4,60821504,847.4501953125,0.18222031460202323,4650.6900021732845,0.5963329606078398
5,model.layers.5,60821504,896.49853515625,0.1984478273761996,4517.552784575205,0.5792614914064413
5,model.layers.6,60821504,939.333984375,0.21073693504141483,4457.37708100575,0.5715454846527201
5,model.layers.7,60821504,947.52880859375,0.2213389945257776,4280.89415795823,0.548916028819613
5,model.layers.8,60821504,1007.3818359375,0.22312298712314987,4514.9173060393305,0.5789235581713339
5,model.layers.9,60821504,988.52587890625,0.21853338169099287,4523.454820756079,0.5800182777559316
5,model.layers.10,60821504,905.66796875,0.1909321977187381,4743.400953694243,0.6082207871831281
5,model.layers.11,60821504,778.3291015625,0.16450553417518726,4731.324726945855,0.6066723175912025
5,model.layers.12,60821504,670.11328125,0.1434552808208876,4671.234669197546,0.5989672927403954
5,model.layers.13,60821504,644.037841796875,0.1373377117547302,4689.446427846815,0.6013024885818983
5,model.layers.14,60821504,622.99853515625,0.13676287953207636,4555.3189380612,0.5841040421050581
5,model.layers.15,60821504,822.200927734375,0.20647741227845084,3982.038125437048,0.5105953274644189
5,model.norm,2048,0.059326171875,0.0017031280298032464,34.833653628408456,0.769722271692219
5,__whole_model__,1235814400,13497.606689453125,0.9984435665621838,13518.647564556653,0.3845533688335084
6,model.embed_tokens,262668288,328.0,0.23326233762256376,1406.1421288280537,0.08676116968738667
6,model.layers.0,60821504,880.70703125,0.2938122072649255,2997.5168133701172,0.3843554558470821
6,model.layers.1,60821504,816.3193359375,0.6060180579208874,1347.0214711721783,0.17272131695104606
6,model.layers.2,60821504,799.580078125,0.19590692447976513,4081.4283632306583,0.5233396029872519
6,model.layers.3,60821504,856.40771484375,0.20191316590044822,4241.465438989726,0.5438602962929395
6,model.layers.4,60821504,858.845703125,0.2027449977661516,4236.088251684525,0.5431708084913542
6,model.layers.5,60821504,876.32373046875,0.19807164758672197,4424.276473416358,0.5673011718061369
6,model.layers.6,60821504,913.3154296875,0.20367327370297583,4484.218341869544,0.5749871951408141
6,model.layers.7,60821504,924.58349609375,0.2151249897396571,4297.889785899235,0.5510952867625661
6,model.layers.8,60821504,972.12548828125,0.21737728256640337,4472.065695201106,0.5734289266336412
6,model.layers.9,60821504,935.69091796875,0.20781026559317867,4502.621250677348,0.5773469011388543
6,model.layers.10,60821504,858.64990234375,0.18180225453129809,4722.988197024419,0.6056033692057107
6,model.layers.11,60821504,739.815673828125,0.15678960350070995,4718.525063588002,0.60503108561457
6,model.layers.12,60821504,642.771484375,0.13565153976091343,4738.401683518581,0.6075797576620597
6,model.layers.13,60821504,606.8408203125,0.13088045863749287,4636.603711737456,0.5945267513624044
6,model.layers.14,60821504,591.229736328125,0.13195919461710756,4480.398187058019,0.574497357239842
