model,rank_1,rank_2,rank_3
checkpoints/llama3.1-8b-soft-panel-control-k100,0.322,0.41473333333333334,0.26326666666666665
checkpoints/llama3.1-8b-soft-panel-control-k50,0.30493333333333333,0.4166,0.27846666666666664
checkpoints/llama3.1-8b-soft-panel,0.37306666666666666,0.16866666666666666,0.45826666666666666
