,checkpoints/llama3.1-8b-soft-panel,checkpoints/llama3.1-8b-soft-panel-control-k100,checkpoints/llama3.1-8b-soft-panel-control-k50
checkpoints/llama3.1-8b-soft-panel,0.5,0.4524,0.4624
checkpoints/llama3.1-8b-soft-panel-control-k100,0.5476,0.5,0.5111333333333333
checkpoints/llama3.1-8b-soft-panel-control-k50,0.5376,0.48886666666666667,0.5
