clause_id,model,win_share
13,checkpoints/llama3.1-8b-us-rep,0.14714285714285713
13,meta-llama/Llama-3.1-8B,0.13285714285714287
14,checkpoints/llama3.1-8b-adversary-hard,0.10285714285714286
14,checkpoints/llama3.1-8b-adversary-soft,0.18476190476190477
14,checkpoints/llama3.1-8b-full-prism,0.17523809523809525
14,checkpoints/llama3.1-8b-hard-panel,0.18023809523809523
14,checkpoints/llama3.1-8b-soft-panel,0.21
14,checkpoints/llama3.1-8b-us-rep,0.10928571428571429
14,meta-llama/Llama-3.1-8B,0.03761904761904762
15,checkpoints/llama3.1-8b-adversary-hard,0.0569047619047619
15,checkpoints/llama3.1-8b-adversary-soft,0.19095238095238096
15,checkpoints/llama3.1-8b-full-prism,0.17595238095238094
15,checkpoints/llama3.1-8b-hard-panel,0.17023809523809524
15,checkpoints/llama3.1-8b-soft-panel,0.2019047619047619
15,checkpoints/llama3.1-8b-us-rep,0.12238095238095238
15,meta-llama/Llama-3.1-8B,0.08166666666666667
16,checkpoints/llama3.1-8b-adversary-hard,0.13642857142857143
16,checkpoints/llama3.1-8b-adversary-soft,0.145
16,checkpoints/llama3.1-8b-full-prism,0.14833333333333334
16,checkpoints/llama3.1-8b-hard-panel,0.17404761904761903
16,checkpoints/llama3.1-8b-soft-panel,0.19785714285714287
16,checkpoints/llama3.1-8b-us-rep,0.11047619047619048
16,meta-llama/Llama-3.1-8B,0.08785714285714286
17,checkpoints/llama3.1-8b-adversary-hard,0.11714285714285715
17,checkpoints/llama3.1-8b-adversary-soft,0.17261904761904762
17,checkpoints/llama3.1-8b-full-prism,0.16666666666666666
17,checkpoints/llama3.1-8b-hard-panel,0.16714285714285715
17,checkpoints/llama3.1-8b-soft-panel,0.18619047619047618
17,checkpoints/llama3.1-8b-us-rep,0.16238095238095238
17,meta-llama/Llama-3.1-8B,0.027857142857142858
18,checkpoints/llama3.1-8b-adversary-hard,0.17547619047619048
18,checkpoints/llama3.1-8b-adversary-soft,0.12833333333333333
18,checkpoints/llama3.1-8b-full-prism,0.13857142857142857
18,checkpoints/llama3.1-8b-hard-panel,0.15761904761904763
18,checkpoints/llama3.1-8b-soft-panel,0.12285714285714286
18,checkpoints/llama3.1-8b-us-rep,0.16166666666666665
18,meta-llama/Llama-3.1-8B,0.11547619047619048
19,checkpoints/llama3.1-8b-adversary-hard,0.07928571428571428
19,checkpoints/llama3.1-8b-adversary-soft,0.18785714285714286
19,checkpoints/llama3.1-8b-full-prism,0.1823809523809524
19,checkpoints/llama3.1-8b-hard-panel,0.13785714285714284
19,checkpoints/llama3.1-8b-soft-panel,0.19833333333333333
19,checkpoints/llama3.1-8b-us-rep,0.13666666666666666
19,meta-llama/Llama-3.1-8B,0.07761904761904762
20,checkpoints/llama3.1-8b-adversary-hard,0.10714285714285714
20,checkpoints/llama3.1-8b-adversary-soft,0.18428571428571427
20,checkpoints/llama3.1-8b-full-prism,0.15261904761904763
20,checkpoints/llama3.1-8b-hard-panel,0.13095238095238096
20,checkpoints/llama3.1-8b-soft-panel,0.1792857142857143
20,checkpoints/llama3.1-8b-us-rep,0.1357142857142857
20,meta-llama/Llama-3.1-8B,0.11
21,checkpoints/llama3.1-8b-adversary-hard,0.1357142857142857
21,checkpoints/llama3.1-8b-adversary-soft,0.15166666666666667
21,checkpoints/llama3.1-8b-full-prism,0.16666666666666666
21,checkpoints/llama3.1-8b-hard-panel,0.1676190476190476
21,checkpoints/llama3.1-8b-soft-panel,0.18476190476190477
21,checkpoints/llama3.1-8b-us-rep,0.12452380952380952
21,meta-llama/Llama-3.1-8B,0.06904761904761905
