model,rank_1,rank_2,rank_3,rank_4,rank_5
checkpoints/community-alignment/llama3.1-8b-hard-en,0.3171333333333333,0.18133333333333335,0.1524,0.15546666666666667,0.19366666666666665
checkpoints/community-alignment/llama3.1-8b-full-us,0.17513333333333334,0.24153333333333332,0.234,0.19973333333333335,0.1496
checkpoints/community-alignment/llama3.1-8b-full-global,0.18373333333333333,0.21713333333333334,0.22126666666666667,0.20966666666666667,0.1682
checkpoints/community-alignment/llama3.1-8b-soft-en,0.14706666666666668,0.20346666666666666,0.23613333333333333,0.23533333333333334,0.178
meta-llama/Llama-3.1-8B,0.17693333333333333,0.15653333333333333,0.1562,0.1998,0.31053333333333333
