layer,hard_steps,soft_steps,hard_l1_over_l2_mean,soft_l1_over_l2_mean,delta_l1_over_l2_mean,hard_l1_over_l2_median,soft_l1_over_l2_median,hard_l1_over_sqrt_d_l2_mean,soft_l1_over_sqrt_d_l2_mean,delta_l1_over_sqrt_d_l2_mean,hard_l1_over_sqrt_d_l2_median,soft_l1_over_sqrt_d_l2_median
__whole_model__,300,300,13866.073437180283,13905.96433364601,-39.890896465727565,13900.089353209605,13923.481995162023,0.3944362945551333,0.3955710366621694,-0.001134742107036124,0.395403916134183,0.39606934654989284
model.embed_tokens,300,300,1408.7818654091323,1436.3897267599873,-27.607861350855046,1409.5219155243362,1440.5106308653108,0.0869240455651131,0.0886274938113894,-0.0017034482462763012,0.08696970781525554,0.08888176004310056
model.layers.0,300,300,3113.9784730303913,3118.3217674643074,-4.343294433916071,3121.218333963838,3130.794372415519,0.3992887079602221,0.3998456252407458,-0.0005569172805237055,0.4002170363809111,0.4014449202773043
model.layers.1,300,300,1310.2421711402915,1306.5487521481707,3.693418992120769,1305.6560513760394,1301.4543952552115,0.168005305162075,0.16753171791345015,0.00047358724862486823,0.16741725169572044,0.16687849593414128
model.layers.10,300,300,4740.770013085292,4746.081108026039,-5.311094940747353,4739.866986088328,4744.56071652026,0.6078834358219782,0.6085644489552134,-0.0006810131332352087,0.6077676455279882,0.608369497331368
model.layers.11,300,300,4766.04153271624,4767.031712457338,-0.9901797410975632,4768.471512800589,4765.108561972934,0.611123866836202,0.6112508322577342,-0.00012696542153223245,0.6114354501103485,0.6110042370167007
model.layers.12,300,300,4761.134677717539,4778.1660679062625,-17.03139018872389,4763.5496660335975,4780.889307266652,0.6104946872161279,0.6126785307597233,-0.002183843543595465,0.6108043481764751,0.6130277170932494
model.layers.13,300,300,4658.126077402032,4686.128353495238,-28.002276093206092,4668.0410223543295,4689.171299530739,0.597286448532081,0.6008770297573651,-0.0035905812252841063,0.5985577885859019,0.6012672103579796
model.layers.14,300,300,4572.260687450107,4589.204676348137,-16.943988898029602,4575.521255420692,4593.744128752791,0.586276391491115,0.5884490280373795,-0.002172636546264539,0.586694476581769,0.5890310975992596
model.layers.15,300,300,3982.084425637458,4003.051325320863,-20.96689968340479,3987.0079185651357,4007.675061489822,0.5106012642900458,0.5132897370450841,-0.0026884727550382514,0.5112325773022488,0.5138826138606569
model.layers.2,300,300,4249.263978240353,4263.611169477319,-14.347191236965955,4268.250319501671,4274.52071028392,0.5448602610288323,0.5466999241804827,-0.0018396631516504058,0.5472947774318139,0.5480987959102761
model.layers.3,300,300,4492.020643795671,4480.339651793424,11.680992002246967,4501.854514195411,4493.75895904917,0.5759876423443451,0.5744898515777531,0.0014977907665919554,0.5772485866444318,0.5762105371580402
model.layers.4,300,300,4592.6437686417685,4577.409873984799,15.233894656969824,4606.5045958998135,4595.145961648974,0.5888900043416068,0.5869366439804273,0.001953360361179435,0.5906673036566334,0.589210847090382
model.layers.5,300,300,4490.7709279803485,4491.3497839516085,-0.5788559712600545,4496.090844853106,4494.292810393192,0.5758273980081882,0.5759016215954292,-7.422358724107347e-05,0.5765095423303074,0.5762789900440328
model.layers.6,300,300,4524.143172233131,4526.249087006907,-2.1059147737760213,4528.668188606578,4530.988060378419,0.5801065413628496,0.5803765714855293,-0.00027003012267978743,0.5806867598701067,0.5809842245476675
model.layers.7,300,300,4352.049495191118,4356.901773683296,-4.852278492177902,4357.533107949468,4361.79601684509,0.5580398949330949,0.5586620765013315,-0.0006221815682365683,0.5587430290980222,0.5592896389734041
model.layers.8,300,300,4525.869592525983,4525.82641226163,0.04318026435248612,4529.621514113836,4529.418408464771,0.5803279109497298,0.5803223741767201,5.5367730097399814e-06,0.580808999671491,0.5807829565267176
model.layers.9,300,300,4532.6865294854015,4534.300421189424,-1.6138917040225351,4538.600483172809,4540.852455291508,0.5812020101043474,0.5814089507556293,-0.00020694065128190609,0.58196032457159,0.5822490828418947
model.norm,300,300,34.70889751156423,34.723240752489616,-0.014343240925384748,34.71225443625764,34.77208208171575,0.7669655249354986,0.7672824687768277,-0.00031694384132907594,0.7670397031922059,0.768361719873639
