model,rank_1,rank_2,rank_3,rank_4,rank_5
checkpoints/community-alignment/llama3.1-8b-soft-us-k350,0.21326666666666666,0.23373333333333332,0.21126666666666666,0.198,0.14373333333333332
checkpoints/community-alignment/llama3.1-8b-full-us,0.22446666666666668,0.21753333333333333,0.202,0.1902,0.1658
checkpoints/community-alignment/llama3.1-8b-hard-us-k350,0.18593333333333334,0.19913333333333333,0.2286,0.2086,0.17773333333333333
checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,0.184,0.19493333333333332,0.19926666666666668,0.222,0.1998
meta-llama/Llama-3.1-8B,0.19233333333333333,0.15466666666666667,0.15886666666666666,0.1812,0.31293333333333334
